case_id,group,expected_class,case_status,stop_time_s,evaluation_start_s,sample_count,evaluation_sample_count,valid_sample_count,valid_fraction,timestamp_valid_fraction,residual_ratio_valid_fraction,rmse_e_rad,rmse_e_deg,rk2_rmse_e_rad,heun_rmse_e_rad,predictor_floor_e_rad,predictor_floor_e_deg,mean_estimation_error_e_rad,mean_estimation_error_e_deg,mean_estimate_e_rad,mean_truth_error_e_rad,commanded_fixed_error_e_rad,commanded_fixed_error_e_deg,residual_rms_A,mean_residual_ratio,voltage_reconstruction_rms_V,mean_abs_speed_error_e_radps,mechanical_cycles_evaluated,simulation_elapsed_s
mismatch_psi_-10percent,parameter_mismatch,nonideal,PASS,3.513305,1,70266,50266,50266,1,1,1,0.0143542822780997,0.822439792474545,0.0124015725243893,0.0124015725243893,0.00825192592301023,0.472800528243082,-0.00450277433538388,-0.257989965517321,-0.0302364431572898,-0.025729303344025,0,0,0.514816358188455,1.11587300710254,1.44291389504315e-15,NaN,4.00004914247576,18.8115436
mismatch_psi_+10percent,parameter_mismatch,nonideal,PASS,3.513305,1,70266,50266,50266,1,1,1,0.0143542822780997,0.822439792474545,0.0124015725243893,0.0124015725243893,0.00825192592301023,0.472800528243082,-0.00450277433538388,-0.257989965517321,-0.0302364431572898,-0.025729303344025,0,0,0.514816358188455,0.912987005811161,1.44291389504315e-15,NaN,4.00004914247576,18.7898886
angle_sync_20kHz,angle_sampling,ideal,PASS,3.513305,1,70266,50266,50266,1,1,1,0.0143542822780997,0.822439792474545,0.0124015725243893,0.0124015725243893,0.00825192592301023,0.472800528243082,-0.00450277433538388,-0.257989965517321,-0.0302364431572898,-0.025729303344025,0,0,0.514816358188455,1.00428570639228,1.44291389504315e-15,NaN,4.00004914247576,18.7496132
angle_timestamped_1kHz,angle_sampling,ideal,PASS,3.513305,1,70266,50266,50266,1,1,1,0.0144012689359189,0.825131929661011,0.0123989850220863,0.0123989850220863,0.00825192592301023,0.472800528243082,-0.00450297126061957,-0.258001248502205,-0.0316176439730199,-0.0271198708062479,0,0,0.514816358188455,1.00289798371003,1.44291389504315e-15,NaN,4.00004914247576,18.5697273
nonideal_angle_noise,nonideal,nonideal,PASS,3.513305,1,70266,50266,50266,1,1,1,0.0142827656753263,0.818342192970517,0.0123271478695227,0.0123271478695227,0.00825015019402577,0.472698786466714,-0.00450380397088391,-0.258048959285909,-0.0301220005813608,-0.0256143906759453,0,0,0.51489792160898,1.0042930698346,1.43573801221553e-15,NaN,4.00004914247576,18.5869903
nonideal_current_noise,nonideal,nonideal,PASS,3.513305,1,70266,50266,50266,1,1,1,0.0166897611907078,0.956252877308792,0.0152279112948488,0.0152279112948488,0.00825803591671502,0.473150605095218,-0.00450325793880412,-0.258017673952258,-0.0302339785795388,-0.025729303344025,0,0,0.514846587466521,1.00432583988633,1.44291389504315e-15,NaN,4.00004914247576,18.7901632
nonideal_deadtime,nonideal,nonideal,PASS,3.513305,1,70266,50266,50266,1,1,1,0.0311261402446742,1.78339646855213,0.0293962767348426,0.0293962767348426,0.008677850550015,0.49720421176114,-0.00603163896367198,-0.345587456165066,-0.0316475324017238,-0.0256095139267932,0,0,0.515366778105112,1.00478273288381,1.42317689266923e-15,NaN,4.00004914247576,18.6791383
nonideal_min_pulse,nonideal,nonideal,PASS,3.513305,1,70266,50266,50266,1,1,1,0.0143542822780997,0.822439792474545,0.0124015725243893,0.0124015725243893,0.00825192592301023,0.472800528243082,-0.00450277433538388,-0.257989965517321,-0.0302364431572898,-0.025729303344025,0,0,0.514816358188455,1.00428570639228,1.44291389504315e-15,NaN,4.00004914247576,19.3915597
nonideal_voltage_drop,nonideal,nonideal,PASS,3.513305,1,70266,50266,50266,1,1,1,0.0296806310465443,1.70057489225195,0.0296133111164014,0.0296133111164014,0.00772790503727799,0.442776343113918,0.000372223928033878,0.0213268601101225,-0.0252677227065384,-0.0255494257512966,0,0,0.550707874955046,1.08028767348183,0.0499394519266899,NaN,4.00004914247576,18.5740486
nonideal_delay_5us,nonideal,nonideal,PASS,3.513305,1,70266,50265,50265,1,1,1,0.126649398409827,7.25647600675396,0.129274810231032,0.129274810231032,0.00775802688300335,0.444502197745125,0.0105703150345715,0.605634439604628,-0.0151422308964907,-0.025727673478405,0,0,0.519567960633843,1.01261305660973,1.44287930286388e-15,NaN,4.00004914247576,19.2642436
nonideal_delay_50us,nonideal,nonideal,PASS,3.513305,1,70266,50265,50265,1,1,1,0.060446061854232,3.46330423243421,0.0613726151757967,0.0613726151757967,0.00817337486392476,0.468299884081202,-0.00151691427807288,-0.0869127860167103,-0.0271590539369013,-0.0257297847704517,0,0,0.515698166278184,1.0059856194486,1.44247544179639e-15,NaN,4.00004914247576,18.8933928
nonideal_combined,nonideal,nonideal,PASS,3.513305,1,70266,50265,50265,1,1,1,0.135949639108166,7.78934054722458,0.138407337149361,0.138407337149361,0.00758179832534277,0.434405045161496,0.0140964811956847,0.807668878498259,-0.000651668778828187,-0.0149600334116255,0,0,0.55652572409837,1.08983107076203,0.0496142151388519,NaN,4.00004914247576,19.2400879
voltage_ab_reconstructed,voltage_ab,ideal,PASS,3.513305,1,70266,50266,50266,1,1,1,0.0143542822780997,0.822439792474545,0.0124015725243893,0.0124015725243893,0.00825192592301023,0.472800528243082,-0.00450277433538388,-0.257989965517321,-0.0302364431572898,-0.025729303344025,0,0,0.514816358188455,1.00428570639228,1.44291389504315e-15,NaN,4.00004914247576,19.6617224
voltage_ab_plant_evaluation,voltage_ab,ideal,PASS,3.513305,1,70266,50266,50266,1,1,1,0.0143542822780997,0.822439792474545,0.0124015725243893,0.0124015725243893,0.00825192592301023,0.472800528243082,-0.00450277433538388,-0.257989965517321,-0.0302364431572898,-0.025729303344025,0,0,0.514816358188455,1.00428570639228,1.44291389504315e-15,NaN,4.00004914247576,19.2255296
