node,phi_m_rad,shadow_e_rad,active_e_rad,reference_e_rad,valid,node_weight,node_hits
34,3.33794219443916,0.0545187409023333,0.0535597299704193,0.058665948633912,1,1491.49545157078,2989
35,3.43611696486384,0.0400161572868172,0.0392641463174731,0.0439654856296086,1,1484.28114765514,2970
36,3.53429173528852,0.0216442899567154,0.0212059293959856,0.0256847814379784,1,1478.87210675373,2875
37,3.6324665057132,-9.78557072209148e-05,-0.000262055087351171,0.00394681590252977,1,1478.13195428181,2873
38,3.73064127613788,-0.0249215086838843,-0.0244583328884837,-0.021047475678981,1,1483.8004912004,2973
39,3.82881604656256,-0.0535666705089087,-0.05263849427311,-0.0497835776734566,1,1561.00468652597,3058
40,3.92699081698724,-0.083265576355183,-0.0818174279309249,-0.0795483954044758,1,1700.30492124324,3293
41,4.02516558741192,-0.116604775465894,-0.11468182071516,-0.11177177523863,1,1756.47539195107,3416
42,4.1233403578366,-0.146663179954477,-0.143960039612947,-0.142990779529074,1,1833.56826092089,3567
43,4.22151512826128,-0.179792879092274,-0.176635126052163,-0.17531410445035,1,1941.36188725808,3906
44,4.31968989868597,-0.210283463184995,-0.206406935636969,-0.205869510786178,1,2080.65432929111,4048
45,4.41786466911065,-0.238556236669664,-0.233834813693089,-0.234401056415332,1,2257.53912988664,4400
46,4.51603943953533,-0.265799874247318,-0.260234247656679,-0.260802448609144,1,2476.27201626289,4823
47,4.61421420996001,-0.287045714487997,-0.280670253641728,-0.282262850151409,1,2712.78392824327,5285
48,4.71238898038469,-0.303961776471947,-0.296630565732597,-0.298928802119393,1,2947.88287357044,5741
49,4.81056375080937,-0.315852146222155,-0.308136445947386,-0.310442309746037,1,3146.05384529358,6122
50,4.90873852123405,-0.321651412579548,-0.313677195005367,-0.316332926291406,1,3261.69831601121,6347
51,5.00691329165873,-0.322276800965462,-0.314289786621888,-0.316562177378035,1,3267.25306293471,6356
52,5.10508806208341,-0.315675180113347,-0.307838190224169,-0.310254659434933,1,3142.42520537896,6117
53,5.20326283250809,-0.30322335279478,-0.296099451607033,-0.298101485495759,1,2934.55021518232,5910
54,5.30143760293278,-0.286154775139562,-0.279680549851796,-0.280835319053602,1,2691.48368587766,5243
55,5.39961237335746,-0.262693643140966,-0.257175471465574,-0.257632337500456,1,2438.96465774539,4750
56,5.49778714378214,-0.233647486273544,-0.229122931465288,-0.229213712208644,1,2207.9162486504,4299
57,5.59596191420682,-0.202955829471748,-0.198983731418823,-0.197751316831481,1,2018.11553160597,3928
58,5.6941366846315,-0.165746796243504,-0.162801782255339,-0.161263216830106,1,1860.57280053659,3621
59,5.79231145505618,-0.126768377689874,-0.124445859920223,-0.122499591109464,1,1744.13565154396,3494
60,5.89048622548086,-0.0875184563146628,-0.085964510006951,-0.082708616153086,1,1661.42647912187,3232
61,5.98866099590554,-0.0456252133591783,-0.0449661437400082,-0.0415538058835246,1,1609.65371100669,3133
62,6.08683576633022,-0.00596229761102211,-0.00597049558673701,-0.00125425510135423,1,1586.16804496091,3087
63,6.18501053675491,0.0351961570177261,0.0346424671134746,0.0389374892311693,1,1591.4924402255,3094
