case_id,group,expected_class,case_status,stop_time_s,evaluation_start_s,sample_count,evaluation_sample_count,valid_sample_count,valid_fraction,timestamp_valid_fraction,residual_ratio_valid_fraction,rmse_e_rad,rmse_e_deg,rk2_rmse_e_rad,heun_rmse_e_rad,predictor_disagreement_e_rad,predictor_disagreement_e_deg,predictor_floor_e_rad,predictor_floor_e_deg,mean_estimation_error_e_rad,mean_estimation_error_e_deg,mean_estimate_e_rad,mean_truth_error_e_rad,commanded_fixed_error_e_rad,commanded_fixed_error_e_deg,residual_rms_A,mean_residual_ratio,voltage_reconstruction_rms_V,voltage_ab_independent_evaluation,voltage_ab_selected_source,voltage_ab_gate_source,voltage_ab_selected_branch_rmse_e_rad,voltage_ab_selected_branch_rmse_e_deg,voltage_ab_reconstructed_branch_rmse_e_rad,voltage_ab_reconstructed_branch_rmse_e_deg,voltage_ab_plant_evaluation_branch_rmse_e_rad,voltage_ab_plant_evaluation_branch_rmse_e_deg,voltage_ab_pseudo_angle_delta_rms_e_rad,voltage_ab_pseudo_angle_delta_rms_e_deg,voltage_ab_pseudo_angle_delta_mean_e_rad,voltage_ab_pseudo_angle_delta_mean_e_deg,voltage_ab_residual_delta_rms_A,voltage_ab_voltage_delta_rms_V,voltage_ab_branches_numerically_distinct,mean_abs_speed_error_e_radps,mechanical_cycles_evaluated,simulation_elapsed_s
mismatch_Ls_-10percent,parameter_mismatch,nonideal,PASS,3.513305,1,70266,50266,50266,1,1,1,0.0312238499063444,1.78899481978349,0.0239211011731622,0.0239211011731622,0.00819671296919815,0.4696370590152,0.0131549404438551,0.753722567178849,-0.0163589663394444,-0.937299728446739,-0.0421110165131403,-0.0257293033440626,0,0,0.572111684096803,1.00495967591928,1.63539679537112e-15,1,reconstructed,reconstructed_deployment_only,0.0312238499063444,1.78899481978349,0.0312238499063444,1.78899481978349,0.0312238499063444,1.78899481978349,9.57425075349307e-16,5.48564160175101e-14,9.71826146570383e-19,5.56815366189451e-17,8.28292597036255e-16,1.63539679537112e-15,0,NaN,4.00004914247576,17.5458727
mismatch_Ls_+10percent,parameter_mismatch,nonideal,PASS,3.513305,1,70266,50266,50266,1,1,1,0.0189103782647289,1.08348486356489,0.025758560268074,0.025758560268074,0.00829178943559296,0.47508453927064,0.0131549404438551,0.753722567178849,0.00743525906524669,0.426008964025021,-0.018269586448174,-0.0257293033440626,0,0,0.468137299532919,1.00404690334029,1.63539679537112e-15,1,reconstructed,reconstructed_deployment_only,0.0189103782647289,1.08348486356489,0.0189103782647289,1.08348486356489,0.0189103782647289,1.08348486356489,1.00817849462762e-15,5.77643727380152e-14,-3.57808717600914e-18,-2.05009293915207e-16,7.30098656424612e-16,1.63539679537112e-15,0,NaN,4.00004914247576,17.8842726
mismatch_psi_-10percent,parameter_mismatch,nonideal,PASS,3.513305,1,70266,50266,50266,1,1,1,0.0143542822780249,0.822439792470259,0.0124015725243852,0.0124015725243852,0.00825192592301046,0.472800528243096,0.0131549404438551,0.753722567178849,-0.00450277433541376,-0.257989965519033,-0.0302364431573569,-0.0257293033440626,0,0,0.514816358188451,1.11587300710253,1.63539679537112e-15,1,reconstructed,reconstructed_deployment_only,0.0143542822780249,0.822439792470259,0.0143542822780249,0.822439792470259,0.0143542822780249,0.82243979247026,9.83991976721239e-16,5.63785873408621e-14,-3.49857412765338e-18,-2.00453531828202e-16,7.76452685480134e-16,1.63539679537112e-15,0,NaN,4.00004914247576,17.3936463
mismatch_psi_+10percent,parameter_mismatch,nonideal,PASS,3.513305,1,70266,50266,50266,1,1,1,0.0143542822780249,0.822439792470259,0.0124015725243852,0.0124015725243852,0.00825192592301046,0.472800528243096,0.0131549404438551,0.753722567178849,-0.00450277433541376,-0.257989965519033,-0.0302364431573569,-0.0257293033440626,0,0,0.514816358188451,0.912987005811156,1.63539679537112e-15,1,reconstructed,reconstructed_deployment_only,0.0143542822780249,0.822439792470259,0.0143542822780249,0.822439792470259,0.0143542822780249,0.82243979247026,9.83991976721239e-16,5.63785873408621e-14,-3.49857412765338e-18,-2.00453531828202e-16,7.76452685480134e-16,1.63539679537112e-15,0,NaN,4.00004914247576,17.6809451
angle_sync_20kHz,angle_sampling,ideal,PASS,3.513305,1,70266,50266,50266,1,1,1,0.0143542822780249,0.822439792470259,0.0124015725243852,0.0124015725243852,0.00825192592301046,0.472800528243096,0.0131549404438551,0.753722567178849,-0.00450277433541376,-0.257989965519033,-0.0302364431573569,-0.0257293033440626,0,0,0.514816358188451,1.00428570639228,1.63539679537112e-15,1,reconstructed,reconstructed_deployment_only,0.0143542822780249,0.822439792470259,0.0143542822780249,0.822439792470259,0.0143542822780249,0.82243979247026,9.83991976721239e-16,5.63785873408621e-14,-3.49857412765338e-18,-2.00453531828202e-16,7.76452685480134e-16,1.63539679537112e-15,0,NaN,4.00004914247576,17.7805219
angle_timestamped_1kHz,angle_sampling,ideal,PASS,3.513305,1,70266,50266,50266,1,1,1,0.0144012689358485,0.825131929656975,0.012398985022087,0.012398985022087,0.00825192592301045,0.472800528243095,0.0131549404438551,0.753722567178849,-0.00450297126064947,-0.258001248503919,-0.0316176439730875,-0.0271198708062856,0,0,0.514816358188451,1.00289798371002,1.63539679537112e-15,1,reconstructed,reconstructed_deployment_only,0.0144012689358485,0.825131929656975,0.0144012689358485,0.825131929656975,0.0144012689358485,0.825131929656975,9.76790550198357e-16,5.59659759946274e-14,-5.94580906038062e-18,-3.40669764950455e-16,7.7535816294316e-16,1.63539679537112e-15,0,NaN,4.00004914247576,17.3037739
nonideal_angle_noise,nonideal,nonideal,PASS,3.513305,1,70266,50266,50266,1,1,1,0.0142827656752478,0.818342192966017,0.0123271478695149,0.0123271478695149,0.008250150194026,0.472698786466727,0.0131549404438551,0.753722567178849,-0.00450380397091492,-0.258048959287686,-0.030122000581429,-0.025614390675983,0,0,0.514897921608977,1.00429306983459,1.62805551859371e-15,1,reconstructed,reconstructed_deployment_only,0.0142827656752478,0.818342192966017,0.0142827656752478,0.818342192966017,0.0142827656752478,0.818342192966017,9.78091081038795e-16,5.60404909229111e-14,-8.83478315063985e-21,-5.06195787444956e-19,7.70418975447685e-16,1.62805551859371e-15,0,NaN,4.00004914247576,17.6409458
nonideal_current_noise,nonideal,nonideal,PASS,3.513305,1,70266,50266,50266,1,1,1,0.0166897611906435,0.956252877305106,0.0152279112948456,0.0152279112948456,0.00825803591671525,0.473150605095232,0.0131549404438551,0.753722567178849,-0.00450325793883399,-0.25801767395397,-0.030233978579606,-0.0257293033440626,0,0,0.514846587466518,1.00432583988632,1.63539679537112e-15,1,reconstructed,reconstructed_deployment_only,0.0166897611906435,0.956252877305106,0.0166897611906435,0.956252877305106,0.0166897611906435,0.956252877305106,9.81226914181327e-16,5.62201609272355e-14,-7.95130483557586e-20,-4.5557620870046e-18,7.77867727306205e-16,1.63539679537112e-15,0,NaN,4.00004914247576,17.8232121
nonideal_deadtime,nonideal,nonideal,PASS,3.513305,1,70266,50266,50266,1,1,1,0.0148482923115667,0.850744482429323,0.0126065484313033,0.0126065484313033,0.00894314519779376,0.512404475406272,0.0131549404438551,0.753722567178849,-0.00453806023506972,-0.260011698645641,-0.030183167789457,-0.0256415526088762,0,0,0.515063057659827,1.00429949345517,1.62988605713279e-15,1,reconstructed,reconstructed_deployment_only,0.0148482923115667,0.850744482429323,0.0148482923115667,0.850744482429323,0.0148482923115667,0.850744482429323,9.87899706671498e-16,5.66024837744889e-14,-2.29704361916636e-18,-1.31610904735688e-16,7.77186839009495e-16,1.62988605713279e-15,0,NaN,4.00004914247576,17.8580892
nonideal_min_pulse,nonideal,nonideal,PASS,3.513305,1,70266,50266,50266,1,1,1,0.0143542822780249,0.822439792470259,0.0124015725243852,0.0124015725243852,0.00825192592301046,0.472800528243096,0.0131549404438551,0.753722567178849,-0.00450277433541376,-0.257989965519033,-0.0302364431573569,-0.0257293033440626,0,0,0.514816358188451,1.00428570639228,1.63539679537112e-15,1,reconstructed,reconstructed_deployment_only,0.0143542822780249,0.822439792470259,0.0143542822780249,0.822439792470259,0.0143542822780249,0.82243979247026,9.83991976721239e-16,5.63785873408621e-14,-3.49857412765338e-18,-2.00453531828202e-16,7.76452685480134e-16,1.63539679537112e-15,0,NaN,4.00004914247576,17.7589172
