node,phi_m_rad,shadow_e_rad,active_e_rad,reference_e_rad,valid,update_hits,effective_weight,innovation_variance
34,1.66897109721958,0.12167011719779,0.117000058523944,0.127863256479804,1,1660,879.601425403377,1.47929430138753e-07
35,1.71805848243192,0.117211948693347,0.113406985133862,0.122484886920523,1,1644,872.774884524289,1.4721693743381e-07
36,1.76714586764426,0.108768049673271,0.104886165409515,0.114819194978566,1,1635,866.683244659769,1.4080852673814e-07
37,1.8162332528566,0.104414968010794,0.10034678622452,0.108702284170397,1,1616,858.103025768613,1.28093454515816e-07
38,1.86532063806894,0.0981526890883334,0.0941361773427178,0.103261099361909,1,1711,852.760191699265,1.26192284775743e-07
39,1.91440802328128,0.0925988949615402,0.0887971407615721,0.0983517973733102,1,1601,848.41106703616,1.34379104685099e-07
40,1.96349540849362,0.0892248228778046,0.0854861985418214,0.0937503101620647,1,1589,844.058969018288,1.28821331910339e-07
41,2.01258279370596,0.0858047497630942,0.0808324327380808,0.0895753843012072,1,1684,841.202323508319,1.20125628401485e-07
42,2.0616701789183,0.0813936244943776,0.0780045094846515,0.0863772272022559,1,1680,836.224204008372,1.11795245002547e-07
43,2.11075756413064,0.0776933788379973,0.0750576751230188,0.08393285427605,1,1672,836.107635091792,1.22213555445264e-07
44,2.15984494934298,0.0766174448560406,0.0732308450651114,0.0815143344946196,1,1570,833.244195432797,1.2522481298026e-07
45,2.20893233455532,0.0740541686756193,0.0715706005350317,0.0798911287235456,1,1566,831.753348370931,1.30929076651843e-07
46,2.25801971976766,0.0738829799769762,0.0702995866461084,0.078674289608149,1,1564,830.386014325498,1.26284087884739e-07
47,2.30710710498,0.0724093469284501,0.0694416846631314,0.0780672902399954,1,1561,829.889704492135,1.25442647229996e-07
48,2.35619449019234,0.0725252211744925,0.0692847501600444,0.0777895296787296,1,1561,830.140820237453,1.24999603769989e-07
49,2.40528187540469,0.0724142973812122,0.0695097640736582,0.0777602492034638,1,1559,829.019518417177,1.29142952921811e-07
50,2.45436926061703,0.0729232185014717,0.0699370214406151,0.0782224722363939,1,1567,829.269944703269,1.29021635238161e-07
51,2.50345664582937,0.0742919427493045,0.0713696496731536,0.0789693906608966,1,1564,829.144806095719,1.19960543074197e-07
52,2.55254403104171,0.0747565642566667,0.0718221155730954,0.080021321159265,1,1566,830.017737735585,1.15190724808381e-07
53,2.60163141625405,0.0767417357240678,0.0733313600999673,0.0813357986891888,1,1665,830.764949659235,1.20331949299789e-07
54,2.65071880146639,0.0774523787879389,0.0745249514527093,0.0823029726467285,1,1564,831.634992527577,1.29936556978609e-07
55,2.69980618667873,0.0780441932598933,0.0749545569273866,0.0832551863509286,1,1568,832.505967461684,1.24511451538859e-07
56,2.74889357189107,0.0784095435965586,0.0752208990529729,0.0842788146166096,1,1565,833.626230020848,1.24120022946942e-07
57,2.79798095710341,0.0794030384719773,0.0768185170590989,0.0847138830175565,1,1570,834.371807162757,1.31026400546523e-07
58,2.84706834231575,0.0788945484057184,0.0768563473639653,0.0851017165682337,1,1571,834.369938020957,1.28664034563869e-07
59,2.89615572752809,0.0804764375881245,0.077355619652467,0.0856161703990745,1,1673,835.865332105738,1.22312138233595e-07
60,2.94524311274043,0.0799384154235232,0.076175999882021,0.0846302468109284,1,1577,836.485528747759,1.29442920749244e-07
61,2.99433049795277,0.0794865525619934,0.0761227936743998,0.0840561016909299,1,1577,834.98968070718,1.27358928709177e-07
62,3.04341788316511,0.0772631580056171,0.0740445411212552,0.082560209819254,1,1575,836.111493682755,1.12242591541899e-07
63,3.09250526837745,0.0760943498962076,0.0729479375619882,0.0809642696396006,1,1575,835.239538229324,1.17716779976557e-07
64,3.14159265358979,0.0724995075968567,0.0699716924173268,0.0781433404358482,1,1673,834.865832367362,1.2452950174054e-07
65,3.19068003880213,0.0700363921988382,0.066773490601875,0.0748129140444786,1,1502,798.803508852569,1.30194652121568e-07
66,3.23976742401447,0.0652171382891038,0.0628948061415769,0.0705421744221571,1,1505,749.263432294948,1.10849577242812e-07
67,3.28885480922681,0.0601287833967681,0.0579574713737335,0.0651226853888776,1,1409,748.019258719883,1.15188652648206e-07
68,3.33794219443916,0.0534315064376857,0.0515536662803013,0.0586665574527426,1,1404,745.903109382368,1.20375590313111e-07
69,3.3870295796515,0.0474307160685932,0.0456077784337107,0.0521656969242649,1,1487,743.16542565694,1.13933952052188e-07
70,3.43611696486384,0.0392547365732604,0.0375039024862548,0.0441355057384601,1,1397,742.296368429533,1.23793911247158e-07
71,3.48520435007618,0.030032085992814,0.0288753081907288,0.0353982245587239,1,1483,740.804132794258,1.18037412227447e-07
72,3.53429173528852,0.0199037167440428,0.0195991240355105,0.0258204599788216,1,1484,739.062002511308,1.09713735152144e-07
73,3.58337912050086,0.0112065632150957,0.0106602926278549,0.0156735788429841,1,1392,738.816075690576,1.09032399495866e-07
74,3.6324665057132,-0.000685033369020236,-0.000702573741053263,0.00412016808226227,1,1390,738.941660408018,1.09971433724484e-07
75,3.68155389092554,-0.0130472303653439,-0.0124216214068769,-0.00811455713626403,1,1391,739.564512056998,1.13044310657212e-07
76,3.73064127613788,-0.0252779155924215,-0.0245997730264586,-0.0208279111301725,1,1483,741.682798062957,1.05200667410539e-07
77,3.77972866135022,-0.0384786744954744,-0.037250071483185,-0.0343289942816619,1,1492,744.670874217891,1.1851226309307e-07
78,3.82881604656256,-0.0536906712650881,-0.0515726947080096,-0.0494024664214682,1,1467,770.11456021457,1.20952143990809e-07
79,3.8779034317749,-0.0703565772074694,-0.0677806532619623,-0.0642321608082304,1,1566,837.109378404893,1.21882311368207e-07
80,3.92699081698724,-0.0828896224490227,-0.080468582790716,-0.0791218103784954,1,1603,849.937138959721,1.26491458027294e-07
81,3.97607820219958,-0.0993528365343075,-0.0967555653530655,-0.0952330793566867,1,1628,863.626186162144,1.4531456079256e-07
82,4.02516558741192,-0.117562800512697,-0.115085507421353,-0.112360582776156,1,1654,877.552661970397,1.38037821869255e-07
83,4.07425297262426,-0.131737830619902,-0.127359574991928,-0.126586892192158,1,1683,894.219273799197,1.52605823128093e-07
84,4.1233403578366,-0.147651585097643,-0.142368990254249,-0.142540295089074,1,1834,915.480267023206,1.42009633018677e-07
85,4.17242774304894,-0.164152652178169,-0.15966889579484,-0.159436181286983,1,1774,941.956713996171,1.67940682857583e-07
86,4.22151512826128,-0.178214194755648,-0.17395132156698,-0.175059668128426,1,1826,968.911810837887,1.72294156949881e-07
87,4.27060251347362,-0.195567949703303,-0.190999356624735,-0.190714030856735,1,2012,1002.9434388442,1.74431486211477e-07
88,4.31968989868597,-0.209293721152241,-0.204698052662519,-0.205766975576672,1,1953,1038.81108122389,2.0820182089898e-07
89,4.36877728389831,-0.225041272615604,-0.219333668970798,-0.220125799372499,1,2036,1080.74305729023,2.12464470685309e-07
90,4.41786466911065,-0.238775284504111,-0.23231740471656,-0.233906167857919,1,2270,1126.4851158192,2.25715599983452e-07
91,4.46695205432299,-0.253884928229063,-0.247824638344022,-0.24839722821838,1,2229,1181.36497084465,2.61049227882596e-07
92,4.51603943953533,-0.265521255553525,-0.259220501304938,-0.2607896298138,1,2490,1237.65771015934,2.798280609483e-07
93,4.56512682474767,-0.278789303444743,-0.271631049034252,-0.272128188203864,1,2446,1295.86364136243,3.01359196788627e-07
94,4.61421420996001,-0.286396474300386,-0.279999209507795,-0.282326643245471,1,2558,1356.22779318277,3.37770887697182e-07
95,4.66330159517235,-0.297088912600677,-0.289681575895525,-0.29139994760141,1,2672,1417.24862875857,3.45863173805013e-07
96,4.71238898038469,-0.303627959621795,-0.296201067594862,-0.299078886442305,1,2784,1474.60720726413,3.93733950620722e-07
97,4.76147636559703,-0.311438523446787,-0.303625685331171,-0.305610779983381,1,2890,1529.30270385405,3.91108715860954e-07
98,4.81056375080937,-0.319289358117021,-0.310766529515404,-0.311041248216616,1,2979,1577.77441048334,4.20707641969333e-07
99,4.85965113602171,-0.316504945526589,-0.309855091890363,-0.313860749111196,1,3037,1607.25616576642,4.45460555031878e-07
100,4.90873852123405,-0.323257675428309,-0.314429094206961,-0.31685814769055,1,3284,1635.31555903993,4.03046670810154e-07
101,4.95782590644639,-0.321301677265543,-0.313814325331642,-0.317702919521007,1,3108,1645.50934817614,4.37981560245709e-07
102,5.00691329165873,-0.322457830128181,-0.313840916476185,-0.31714796388762,1,3096,1639.30293422763,4.53893462514654e-07
103,5.05600067687107,-0.318578308581418,-0.311327164761031,-0.314203562356652,1,3045,1610.39090923804,4.28106276194873e-07
104,5.10508806208341,-0.31937983503351,-0.311017689962139,-0.310846739272748,1,2971,1575.28517578998,3.84755348715531e-07
105,5.15417544729575,-0.311843928557171,-0.302344898560295,-0.304854520444819,1,3072,1523.88914993992,3.64807982475585e-07
106,5.20326283250809,-0.302889163278827,-0.295704128786743,-0.298292008124343,1,2773,1468.55591436159,3.85398508151021e-07
107,5.25235021772044,-0.295181643260126,-0.288195173577499,-0.290389586029865,1,2658,1408.09945170156,3.62220926222483e-07
108,5.30143760293278,-0.285446687623934,-0.279214567478846,-0.280931149218657,1,2693,1346.34890403386,3.17088663601998e-07
109,5.35052498814512,-0.275645003529822,-0.269297270304851,-0.270132621967623,1,2419,1282.17011198604,3.09652966357803e-07
110,5.39961237335746,-0.263709902811584,-0.256583323151382,-0.257698958133597,1,2302,1219.15983325353,2.64628079887458e-07
111,5.4486997585698,-0.248107536613098,-0.242454340245706,-0.243634015806921,1,2182,1157.43953699768,2.49971935881565e-07
112,5.49778714378214,-0.233432191349948,-0.227574955014195,-0.228927565578972,1,2080,1102.35943179388,2.30455978154841e-07
113,5.54687452899448,-0.219104265681298,-0.213750547200773,-0.213962715063354,1,1983,1053.67409671535,2.16179018089477e-07
114,5.59596191420682,-0.205249438467768,-0.198368991054767,-0.197959247028963,1,1902,1008.66309935165,1.97765402615904e-07
115,5.64504929941916,-0.185670916515209,-0.179860271603349,-0.179611554079545,1,1818,965.230767793301,1.7799716161463e-07
116,5.6941366846315,-0.165592818032295,-0.161419140715977,-0.161107766713862,1,1868,929.485221521438,1.4981915335993e-07
117,5.74322406984384,-0.147253323299303,-0.14229358501104,-0.141833331344758,1,1691,896.944390236986,1.58307897047241e-07
118,5.79231145505618,-0.127676066434621,-0.12337413074768,-0.122259806930147,1,1639,871.60609722375,1.47877349883281e-07
119,5.84139884026852,-0.106782388140602,-0.103812709956052,-0.1025408390893,1,1697,848.114718403437,1.33164009620986e-07
120,5.89048622548086,-0.0890111128264286,-0.0855248147300605,-0.0827140560914084,1,1563,829.968290778846,1.26597334014315e-07
121,5.9395736106932,-0.0669299351358216,-0.065065300405763,-0.0620510927895963,1,1535,814.801658282609,1.17947363199597e-07
122,5.98866099590554,-0.0456474455305865,-0.0445325532907443,-0.0411286661365653,1,1517,803.364400842694,1.19550356255944e-07
123,6.03774838111788,-0.0259289689732941,-0.0249462172686797,-0.0214736913848301,1,1502,797.776962045384,1.15241899927973e-07
124,6.08683576633022,-0.007065084773012,-0.0063390914282497,-0.00175029242496006,1,1589,791.307510974463,1.03494696637377e-07
125,6.13592315154256,0.0138598232809795,0.0146329107728696,0.0201065375730209,1,1490,791.944105927509,1.10938677469877e-07
126,6.18501053675491,0.0342951811722745,0.0328540104058031,0.0390427036382273,1,1498,795.061718173907,1.08999684915547e-07
127,6.23409792196725,0.052627888582215,0.0509704688870094,0.0573481674406764,1,1508,800.91733817567,1.13790177826625e-07
