node,phi_m_rad,shadow_e_rad,active_e_rad,reference_e_rad,valid,node_weight,node_hits
24,1.17809724509617,0.14166811948251,0.139412257620835,0.14607609241689,1,967.588876736137,1827
25,1.22718463030851,0.141204009805956,0.139032149071661,0.145800803479967,1,967.960903480995,1823
26,1.27627201552085,0.141799422824024,0.139679153947372,0.14615229964159,1,968.213041699972,1821
27,1.32535940073319,0.141414533186311,0.139354667447142,0.145974297307562,1,967.089606069716,1940
28,1.37444678594553,0.1417743960138,0.139486842585854,0.146161802441844,1,968.212705337734,1823
29,1.42353417115788,0.141333863875051,0.139117090156845,0.145871308044725,1,967.837316935849,1941
30,1.47262155637022,0.141582333584994,0.139361210189091,0.145957887392559,1,967.713838880526,1825
31,1.52170894158256,0.141302150636149,0.139163995513735,0.145856863722039,1,967.090202441869,1821
32,1.5707963267949,0.141752568812929,0.139534351071726,0.146141248497271,1,967.715129190335,1823
33,1.61988371200724,0.141670829265014,0.139476146991409,0.146129296787806,1,967.963208881581,1824
34,1.66897109721958,0.141456094977687,0.139204586713294,0.145943479061838,1,968.086631035935,1826
35,1.71805848243192,0.141740903383261,0.139444220670067,0.146150355051044,1,967.588598943028,1821
36,1.76714586764426,0.141503248245375,0.139394679407382,0.145920461791843,1,968.708846337402,1825
37,1.8162332528566,0.141162750669543,0.138921538091029,0.145748855972736,1,967.214281094011,1821
38,1.86532063806894,0.141766323785081,0.139484491618,0.146117830041121,1,967.963913646693,1941
39,1.91440802328128,0.141580248765091,0.139382733897612,0.146079158495562,1,967.961231252795,1826
40,1.96349540849362,0.141724301545581,0.139503536523249,0.146195560269177,1,967.962290082148,1822
41,2.01258279370596,0.141894530023962,0.139659335751631,0.146281611848285,1,968.335647303635,1943
42,2.0616701789183,0.141495366360466,0.139326938076945,0.1460038596067,1,968.708013171536,1944
43,2.11075756413064,0.141580207678363,0.139453425866048,0.146020366619409,1,967.088492126188,1940
44,2.15984494934298,0.141633466582808,0.139425164571794,0.146051636664851,1,968.959675538907,1828
45,2.20893233455532,0.141446949712117,0.139212619127616,0.145912391931851,1,966.96489302361,1823
46,2.25801971976766,0.141571679929384,0.139398761360026,0.145990001570228,1,968.087482503933,1821
47,2.30710710498,0.141396334440916,0.13911172377672,0.145875105331686,1,967.588505690611,1819
48,2.35619449019234,0.14146845857383,0.139244041524659,0.145849209465012,1,968.585651642452,1825
49,2.40528187540469,0.141161981134108,0.138925761191356,0.145732704729788,1,966.965005573615,1822
50,2.45436926061703,0.141725677406924,0.139535574813369,0.146037157888557,1,968.337754643284,1822
51,2.50345664582937,0.141239473026267,0.139177725821983,0.145819112704923,1,967.339009975683,1824
52,2.55254403104171,0.14186178823037,0.139660988962514,0.146198401032664,1,967.839273313999,1823
53,2.60163141625405,0.141487700977512,0.13927500046773,0.145954401938233,1,967.961267171541,1941
54,2.65071880146639,0.141415354992959,0.139176726310535,0.145866997363285,1,967.962504939908,1826
55,2.69980618667873,0.14164889622129,0.13952296993323,0.146086322311896,1,967.340510621637,1824
56,2.74889357189107,0.14181806412448,0.139583105411224,0.146150242431528,1,968.336286224664,1826
57,2.79798095710341,0.141049942525791,0.138770464670942,0.145700259767988,1,968.458215158038,1826
58,2.84706834231575,0.141492121270832,0.139324768429684,0.145886601906594,1,967.215078966105,1822
59,2.89615572752809,0.141502586718466,0.139267527016331,0.145969517030656,1,967.962982477444,1944
60,2.94524311274043,0.141353992417852,0.1392163157887,0.145862069468751,1,968.584652857782,1826
61,2.99433049795277,0.141319150222895,0.139046107120658,0.145857979127919,1,967.339335848496,1822
62,3.04341788316511,0.14166127367762,0.139427113353435,0.146029145494772,1,968.335778591122,1821
