phase,case_id,expected_class,control_angle_gate_basis,nodes,elapsed_s,coverage_fraction,solve_count,solver_relative_difference,normal_equation_relative_residual,rcond,shadow_rmse_e_deg,active_rmse_e_deg,active_max_error_e_deg,lut_improvement_fraction,control_angle_improvement,id_rms_improvement,prediction_residual_improvement,torque_ripple_improvement,iq_tracking_change,mean_torque_change,lut_drift_e_deg
M128_REPLAY,fixed_10deg_e,,,128,0,1,19,1.84499610767183e-16,1.61542279254047e-16,0.510218864285602,0.255214698203732,0.392570101715101,0.410961845269666,0.960671709107633,NaN,NaN,NaN,NaN,NaN,NaN,NaN
M128_REPLAY,fixed_20deg_e,,,128,0,1,18,2.02987575376932e-16,1.60943563974659e-16,0.498153704576051,0.253314217470205,0.788310409921735,0.809243234124406,0.96055584846286,NaN,NaN,NaN,NaN,NaN,NaN,NaN
M128_REPLAY,periodic_constant,,,128,0,1,19,2.35679853994588e-16,1.49033136765434e-16,0.500028880432196,0.255839478881628,0.380383807895141,0.399055878371424,0.954542168742158,NaN,NaN,NaN,NaN,NaN,NaN,NaN
M128_REPLAY,periodic_1x,,,128,0,1,19,1.67624948487917e-16,1.63094405494912e-16,0.422470028972005,0.257055821513453,0.284048488713509,0.452607693801746,0.96808388538882,NaN,NaN,NaN,NaN,NaN,NaN,NaN
M128_REPLAY,periodic_2x,,,128,0,1,19,1.69164460298577e-16,1.5673419825242e-16,0.488582174809283,0.256179283642762,0.259560672917659,0.352602646041556,0.941619962812574,NaN,NaN,NaN,NaN,NaN,NaN,NaN
M128_REPLAY,periodic_combined,,,128,0,1,18,2.10044104915678e-16,1.57530475525696e-16,0.264278417620187,0.25760204363969,0.314557382594503,0.509673679422049,0.968366158574862,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FROZEN_PAIR,fixed_00deg_e,ideal,fixed_zero_exempt,NaN,24.3204706,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00373270918222879,0.0246856960087584,0.00101024750479295,0.0567433555648459,-0.016477033312452,4.24355537926157e-05,NaN
FROZEN_PAIR,fixed_05deg_e,ideal,percentage,NaN,38.3341091,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.600175681644028,0.699200412601006,0.367675852378987,0.174522249567888,-0.321844261446684,9.59512848481502e-05,NaN
FROZEN_PAIR,fixed_10deg_e,ideal,percentage,NaN,38.7075673,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.787711559791244,0.851084572565108,0.633968597217235,0.658936997973676,-0.875862896225824,0.000692930949841837,NaN
FROZEN_PAIR,fixed_20deg_e,ideal,percentage,NaN,37.9456888,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.887449013774275,0.924938588669816,0.801616717825314,0.866969175758751,-0.973600156209945,0.0010419134674478,NaN
FROZEN_PAIR,periodic_constant,ideal,percentage,NaN,38.7381975,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.747344093879067,0.820252164847715,0.570726884334574,0.574471297427103,-0.811786354458225,0.000376057618757895,NaN
FROZEN_PAIR,periodic_1x,ideal,percentage,NaN,39.6044104,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.77322814248807,0.842748941835506,0.58558720560825,0.882102098866335,-0.887485989312029,0.000580591811435687,NaN
FROZEN_PAIR,periodic_2x,ideal,quantization_floor,NaN,38.9521571,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.568018415667181,0.688566514726637,0.337723056885547,0.632847940103136,-0.515495304310135,5.44388550022594e-05,NaN
FROZEN_PAIR,periodic_combined,ideal,percentage,NaN,39.0753685,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.809293312250601,0.867437674137848,0.602147716549028,0.937600452147619,-0.932831698892824,0.00219428600645506,NaN
FROZEN_PAIR,speed_-20radps_m,ideal,percentage,NaN,24.0133994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.782514441272753,0.906931237103721,0.740957276479757,0.976266024069743,-0.941299099294848,0.000266127648500314,NaN
FROZEN_PAIR,speed_-10radps_m,ideal,percentage,NaN,29.2636287,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.774699661551751,0.906370792467796,0.648270785642937,0.948649050933626,-0.926584452087088,0.000803825383023227,NaN
FROZEN_PAIR,speed_-05radps_m,ideal,percentage,NaN,49.2422332,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.762696071283975,0.832048117990532,0.490249766039065,0.936742380674007,-0.929199568400711,0.00104576089535682,NaN
FROZEN_PAIR,speed_+05radps_m,ideal,percentage,NaN,45.334734,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.848373812638386,0.85318466622814,0.407101273399351,0.964704952743855,-0.968280018271769,0.00630600478481917,NaN
FROZEN_PAIR,speed_+10radps_m,ideal,percentage,NaN,24.9807133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.809293312250601,0.867437674137848,0.602147716549028,0.937600452147619,-0.932831698892824,0.00219428600645506,NaN
FROZEN_PAIR,speed_+20radps_m,ideal,percentage,NaN,23.8185019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.796266309982428,0.886145913824764,0.708330881924468,0.937291310899043,-0.934127337530466,0.000531285249282831,NaN
FROZEN_PAIR,load_0Nm,ideal,percentage,NaN,25.9460608,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.790144647793822,0.463630304888689,0.625677192099431,0.689355890971886,-0.530460591329368,0.000134698489821522,NaN
