node,phi_m_rad,shadow_e_rad,active_e_rad,reference_e_rad,valid,update_hits,effective_weight,innovation_variance
28,2.74889357189107,0.0785495201491258,0.0771232781080599,0.0841321005750652,1,3239,1667.06511733307,1.18807622369501e-07
29,2.84706834231575,0.0798688318797159,0.0788524587492464,0.085133588019364,1,3343,1669.4885076552,1.18797400156306e-07
30,2.94524311274043,0.0805308021361781,0.0781348001954486,0.0847333299818973,1,3250,1671.91303515422,1.22384533630057e-07
31,3.04341788316511,0.0781567917117137,0.076093296159871,0.0825350983122363,1,3249,1671.226103151,1.1051321308488e-07
32,3.14159265358979,0.0736819125285771,0.0718980305382323,0.0780512693753549,1,3175,1651.88735590831,1.24425904603349e-07
33,3.23976742401447,0.0660468153398094,0.0643350595812656,0.0703312471496424,1,2998,1522.67481608118,1.10932622895484e-07
34,3.33794219443916,0.0545196504486312,0.0533570516421823,0.058665948633912,1,2989,1491.49545157078,1.12301813871586e-07
35,3.43611696486384,0.0395399486768207,0.0384952700569002,0.0439654856296086,1,2970,1484.28114765514,1.15881245908046e-07
36,3.53429173528852,0.0207539669795894,0.0207421357307746,0.0256847814379784,1,2875,1478.87210675373,1.12994185909638e-07
37,3.6324665057132,-0.000561295058460095,-0.000554407179796245,0.00394681590252977,1,2873,1478.13195428181,1.07484814690289e-07
38,3.73064127613788,-0.0247358897443349,-0.0244832445954603,-0.021047475678981,1,2973,1483.8004912004,1.07564964519251e-07
39,3.82881604656256,-0.0545940138961719,-0.0529705556694035,-0.0497835776734566,1,3058,1561.00468652597,1.15887358661776e-07
40,3.92699081698724,-0.0834090017319444,-0.0823478413640169,-0.0795483954044758,1,3293,1700.30492124324,1.26182524042301e-07
41,4.02516558741192,-0.116375580819272,-0.115104077740701,-0.11177177523863,1,3416,1756.47539195107,1.32949866794067e-07
42,4.1233403578366,-0.147711678153752,-0.144359361111795,-0.142990779529074,1,3567,1833.56826092089,1.44536223808854e-07
43,4.22151512826128,-0.17892505595024,-0.176657276037502,-0.17531410445035,1,3906,1941.36188725808,1.50298338100423e-07
44,4.31968989868597,-0.2100339037814,-0.206683281218013,-0.205869510786178,1,4048,2080.65432929111,1.79462175065832e-07
45,4.41786466911065,-0.23969135285164,-0.234422139443443,-0.234401056415332,1,4400,2257.53912988664,2.10250077050487e-07
46,4.51603943953533,-0.267954223986986,-0.261262551824741,-0.260802448609144,1,4823,2476.27201626289,2.55000013802016e-07
47,4.61421420996001,-0.287939912862337,-0.28085303304021,-0.282262850151409,1,5285,2712.78392824327,2.92280894151936e-07
48,4.71238898038469,-0.304543190972634,-0.297676307425912,-0.298928802119393,1,5741,2947.88287357044,3.42211250280039e-07
49,4.81056375080937,-0.316749147525528,-0.309360873060408,-0.310442309746037,1,6122,3146.05384529358,3.77158564520433e-07
50,4.90873852123405,-0.321562640537617,-0.313632945737872,-0.316332926291406,1,6347,3261.69831601121,3.96726024001418e-07
51,5.00691329165873,-0.321362157082454,-0.313675935967601,-0.316562177378035,1,6356,3267.25306293471,4.05172508792638e-07
52,5.10508806208341,-0.319476374438048,-0.31030637209599,-0.310254659434933,1,6117,3142.42520537896,3.53802303463223e-07
53,5.20326283250809,-0.303147272684951,-0.296116091293024,-0.298101485495759,1,5910,2934.55021518232,3.28272988818228e-07
54,5.30143760293278,-0.286253565166061,-0.280274508492908,-0.280835319053602,1,5243,2691.48368587766,3.01427529851133e-07
55,5.39961237335746,-0.263493970174335,-0.257601618357253,-0.257632337500456,1,4750,2438.96465774539,2.38265939098851e-07
56,5.49778714378214,-0.233020572523404,-0.229370171106018,-0.229213712208644,1,4299,2207.9162486504,2.0372838843842e-07
57,5.59596191420682,-0.20491316834274,-0.200278914080482,-0.197751316831481,1,3928,2018.11553160597,1.74609037135108e-07
58,5.6941366846315,-0.166161404498029,-0.163245632376466,-0.161263216830106,1,3621,1860.57280053659,1.45198093020688e-07
59,5.79231145505618,-0.12729814221208,-0.124860553292675,-0.122499591109464,1,3494,1744.13565154396,1.31731239896197e-07
60,5.89048622548086,-0.0879261981109843,-0.0866846710409661,-0.082708616153086,1,3232,1661.42647912187,1.21635402560365e-07
61,5.98866099590554,-0.0457650945844982,-0.0457490284914388,-0.0415538058835246,1,3133,1609.65371100669,1.13171805578454e-07
62,6.08683576633022,-0.00695915119249748,-0.00579170058104736,-0.00125425510135423,1,3087,1586.16804496091,1.09102633287623e-07
63,6.18501053675491,0.0344902156316206,0.0339130997114534,0.0389374892311693,1,3094,1591.4924402255,1.06847832296059e-07
