node,phi_m_rad,reference_e_rad,zero_noise_shadow_e_rad,zero_noise_active_e_rad,noisy_shadow_e_rad,noisy_active_e_rad
30,2.94524311274043,0.0847333299818973,0.0796137885639018,0.0780532375337735,0.0798237342678064,0.0781348001954486
31,3.04341788316511,0.0825350983122363,0.0777987028092052,0.0761219633161105,0.0776591851469676,0.076093296159871
32,3.14159265358979,0.0780512693753549,0.073164188452027,0.0716569260909439,0.073706801479795,0.0718980305382323
33,3.23976742401447,0.0703312471496424,0.0657471670664578,0.0642769566609932,0.0656069620348431,0.0643350595812656
34,3.33794219443916,0.058665948633912,0.0541157824215821,0.052922250400453,0.0545196504486312,0.0533570516421823
35,3.43611696486384,0.0439654856296086,0.0396233873116802,0.038603131812954,0.0395399486768207,0.0384952700569002
36,3.53429173528852,0.0256847814379784,0.0216351423767165,0.0210110449083333,0.0207539669795894,0.0207421357307746
37,3.6324665057132,0.00394681590252977,-0.000295500593285457,-0.000555314526066247,-0.000561295058460095,-0.000554407179796245
38,3.73064127613788,-0.021047475678981,-0.0252234255707324,-0.0248122847741458,-0.0247358897443349,-0.0244832445954603
39,3.82881604656256,-0.0497835776734566,-0.0541479058695629,-0.0526259043168717,-0.0545940138961719,-0.0529705556694035
40,3.92699081698724,-0.0795483954044758,-0.0832742366809704,-0.0820472236431617,-0.0834090017319444,-0.0823478413640169
41,4.02516558741192,-0.11177177523863,-0.11608472783589,-0.114687123414869,-0.116375580819272,-0.115104077740701
42,4.1233403578366,-0.142990779529074,-0.147463097185121,-0.14458776733552,-0.147711678153752,-0.144359361111795
43,4.22151512826128,-0.17531410445035,-0.179978401264765,-0.176799742130992,-0.17892505595024,-0.176657276037502
44,4.31968989868597,-0.205869510786178,-0.210390250773433,-0.206838597379516,-0.2100339037814,-0.206683281218013
45,4.41786466911065,-0.234401056415332,-0.238926686394511,-0.234412934312097,-0.23969135285164,-0.234422139443443
46,4.51603943953533,-0.260802448609144,-0.26568639518343,-0.260776716899009,-0.267954223986986,-0.261262551824741
47,4.61421420996001,-0.282262850151409,-0.287052878965522,-0.281231447199579,-0.287939912862337,-0.28085303304021
48,4.71238898038469,-0.298928802119393,-0.305462671824785,-0.297977668941519,-0.304543190972634,-0.297676307425912
49,4.81056375080937,-0.310442309746037,-0.31654860177192,-0.308614035974004,-0.316749147525528,-0.309360873060408
50,4.90873852123405,-0.316332926291406,-0.322224599874702,-0.314122425764316,-0.321562640537617,-0.313632945737872
51,5.00691329165873,-0.316562177378035,-0.322523771234575,-0.314589756165217,-0.321362157082454,-0.313675935967601
52,5.10508806208341,-0.310254659434933,-0.316686062199407,-0.308832661271096,-0.319476374438048,-0.31030637209599
53,5.20326283250809,-0.298101485495759,-0.30348812436931,-0.296754754651696,-0.303147272684951,-0.296116091293024
54,5.30143760293278,-0.280835319053602,-0.286581304874557,-0.280809742663974,-0.286253565166061,-0.280274508492908
55,5.39961237335746,-0.257632337500456,-0.263427753104579,-0.257787098153469,-0.263493970174335,-0.257601618357253
56,5.49778714378214,-0.229213712208644,-0.234306128517239,-0.2295435283605,-0.233020572523404,-0.229370171106018
57,5.59596191420682,-0.197751316831481,-0.204484844158312,-0.199918894406577,-0.20491316834274,-0.200278914080482
58,5.6941366846315,-0.161263216830106,-0.165768350732652,-0.163276269418974,-0.166161404498029,-0.163245632376466
59,5.79231145505618,-0.122499591109464,-0.12686057113271,-0.124846151143854,-0.12729814221208,-0.124860553292675
60,5.89048622548086,-0.082708616153086,-0.0872483601848724,-0.0860156876935422,-0.0879261981109843,-0.0866846710409661
61,5.98866099590554,-0.0415538058835246,-0.0451817660992331,-0.0455601862220538,-0.0457650945844982,-0.0457490284914388
62,6.08683576633022,-0.00125425510135423,-0.0061846379660594,-0.00569548387326369,-0.00695915119249748,-0.00579170058104736
63,6.18501053675491,0.0389374892311693,0.0341954959738933,0.0337771521094123,0.0344902156316206,0.0339130997114534
