node,phi_m_rad,signed_noise_floor_e_rad,absolute_noise_floor_e_rad,zero_noise_node_error_e_rad,noisy_node_error_e_rad
29,2.84706834231575,-3.43533445380795e-05,3.43533445380795e-05,-0.00624677592557957,-0.00628112927011765
30,2.94524311274043,8.15626616751525e-05,8.15626616751525e-05,-0.00668009244812379,-0.00659852978644863
31,3.04341788316511,-2.86671562395452e-05,2.86671562395452e-05,-0.00641313499612575,-0.0064418021523653
32,3.14159265358979,0.000241104447288448,0.000241104447288448,-0.00639434328441101,-0.00615323883712256
33,3.23976742401447,5.81029202723488e-05,5.81029202723488e-05,-0.00605429048864911,-0.00599618756837676
34,3.33794219443916,0.000434801241729232,0.000434801241729232,-0.00574369823345895,-0.00530889699172972
35,3.43611696486384,-0.000107861756053748,0.000107861756053748,-0.00536235381665467,-0.00547021557270842
36,3.53429173528852,-0.000268909177558736,0.000268909177558736,-0.00467373652964508,-0.00494264570720381
37,3.6324665057132,9.07346270001791e-07,9.07346270001791e-07,-0.00450213042859602,-0.00450122308232601
38,3.73064127613788,0.000329040178685475,0.000329040178685475,-0.00376480909516479,-0.00343576891647931
39,3.82881604656256,-0.000344651352531727,0.000344651352531727,-0.00284232664341515,-0.00318697799594687
40,3.92699081698724,-0.000300617720855212,0.000300617720855212,-0.00249882823868586,-0.00279944595954107
41,4.02516558741192,-0.000416954325831692,0.000416954325831692,-0.00291534817623876,-0.00333230250207045
42,4.1233403578366,0.000228406223725358,0.000228406223725358,-0.00159698780644618,-0.00136858158272082
43,4.22151512826128,0.000142466093489835,0.000142466093489835,-0.00148563768064217,-0.00134317158715233
44,4.31968989868597,0.000155316161503438,0.000155316161503438,-0.000969086593337692,-0.000813770431834254
45,4.41786466911065,-9.20513134586298e-06,9.20513134586298e-06,-1.18778967648225e-05,-2.10830281106855e-05
46,4.51603943953533,-0.000485834925731898,0.000485834925731898,2.57317101349241e-05,-0.000460103215596974
47,4.61421420996001,0.000378414159368734,0.000378414159368734,0.00103140295182991,0.00140981711119864
48,4.71238898038469,0.000301361515606946,0.000301361515606946,0.000951133177874042,0.00125249469348099
49,4.81056375080937,-0.000746837086403218,0.000746837086403218,0.00182827377203271,0.00108143668562949
50,4.90873852123405,0.000489480026443723,0.000489480026443723,0.00221050052709038,0.0026999805535341
51,5.00691329165873,0.000913820197616433,0.000913820197616433,0.00197242121281832,0.00288624141043475
52,5.10508806208341,-0.00147371082489406,0.00147371082489406,0.00142199816383687,-5.17126610571905e-05
53,5.20326283250809,0.000638663358672076,0.000638663358672076,0.00134673084406212,0.00198539420273419
54,5.30143760293278,0.000535234171066767,0.000535234171066767,2.55763896278016e-05,0.000560810560694569
55,5.39961237335746,0.000185479796215693,0.000185479796215693,-0.000154760653013286,3.07191432024068e-05
56,5.49778714378214,0.000173357254481782,0.000173357254481782,-0.000329816151855455,-0.000156458897373674
57,5.59596191420682,-0.000360019673904477,0.000360019673904477,-0.00216757757509684,-0.00252759724900131
58,5.6941366846315,3.0637042508358e-05,3.0637042508358e-05,-0.00201305258886816,-0.00198241554635981
59,5.79231145505618,-1.44021488207857e-05,1.44021488207857e-05,-0.00234656003439057,-0.00236096218321136
60,5.89048622548086,-0.000668983347423907,0.000668983347423907,-0.00330707154045619,-0.0039760548878801
61,5.98866099590554,-0.000188842269384919,0.000188842269384919,-0.00400638033852926,-0.00419522260791418
62,6.08683576633022,-9.62167077836621e-05,9.62167077836621e-05,-0.00444122877190946,-0.00453744547969313
63,6.18501053675491,0.000135947602041074,0.000135947602041074,-0.00516033712175694,-0.00502438951971586
