condition,fusion_event,time_s,mechanical_cycles,node,phi_m_rad,shadow_e_rad,active_e_rad,reference_e_rad
zero_noise,1,1.63855,1.00000000000009,33,3.23976742401447,0.0500588558862195,0.0100117711772439,0.0703312471496424
zero_noise,1,1.63855,1.00000000000009,34,3.33794219443916,0.0394844394924512,0.00789688789849023,0.058665948633912
zero_noise,1,1.63855,1.00000000000009,35,3.43611696486384,0.0279506150124072,0.00559012300248145,0.0439654856296086
zero_noise,1,1.63855,1.00000000000009,36,3.53429173528852,0.0126700706282422,0.00253401412564844,0.0256847814379784
zero_noise,1,1.63855,1.00000000000009,37,3.6324665057132,-0.00527172911567646,-0.00105434582313529,0.00394681590252977
zero_noise,1,1.63855,1.00000000000009,38,3.73064127613788,-0.0187034923681609,-0.00374069847363218,-0.021047475678981
zero_noise,1,1.63855,1.00000000000009,39,3.82881604656256,-0.0400483315881652,-0.00800966631763305,-0.0497835776734566
zero_noise,1,1.63855,1.00000000000009,40,3.92699081698724,-0.0752274881589094,-0.0150454976317819,-0.0795483954044758
zero_noise,1,1.63855,1.00000000000009,41,4.02516558741192,-0.100569930632158,-0.0201139861264317,-0.11177177523863
zero_noise,1,1.63855,1.00000000000009,42,4.1233403578366,-0.130398439374318,-0.0260796878748637,-0.142990779529074
zero_noise,1,1.63855,1.00000000000009,43,4.22151512826128,-0.163260210839883,-0.0326520421679767,-0.17531410445035
zero_noise,1,1.63855,1.00000000000009,44,4.31968989868597,-0.196319361826457,-0.0349065850398866,-0.205869510786178
zero_noise,1,1.63855,1.00000000000009,45,4.41786466911065,-0.232726084740262,-0.0349065850398866,-0.234401056415332
zero_noise,1,1.63855,1.00000000000009,46,4.51603943953533,-0.269484489888603,-0.0349065850398866,-0.260802448609144
zero_noise,1,1.63855,1.00000000000009,47,4.61421420996001,-0.304136674196917,-0.0349065850398866,-0.282262850151409
zero_noise,1,1.63855,1.00000000000009,48,4.71238898038469,-0.332072376106356,-0.0349065850398866,-0.298928802119393
zero_noise,1,1.63855,1.00000000000009,49,4.81056375080937,-0.352479792687317,-0.0349065850398866,-0.310442309746037
zero_noise,1,1.63855,1.00000000000009,50,4.90873852123405,-0.36311784662196,-0.0349065850398866,-0.316332926291406
zero_noise,1,1.63855,1.00000000000009,51,5.00691329165873,-0.360036470251036,-0.0349065850398866,-0.316562177378035
zero_noise,1,1.63855,1.00000000000009,52,5.10508806208341,-0.341962271220315,-0.0349065850398866,-0.310254659434933
zero_noise,1,1.63855,1.00000000000009,53,5.20326283250809,-0.316258971834803,-0.0349065850398866,-0.298101485495759
